"person1" "person2" "person3" "person4" "person5" "person6" "person7" "person8" "person9" "person10"
"ENSG00000248333" 4.788478 3.264618 2.234078 3.351574 1.404767 1.71246 2.609008 3.492481 2.548226 4.250668
"ENSG00000189339" 3.11037 5.297669 5.723202 4.804544 3.877344 3.504992 4.598538 5.448406 3.281256 5.184939
"ENSG00000008128" 1.4896102 2.8353469 2.8097656 -1.4806 -1.1135907 -1.1288205 0.2192625 -1.0434966 2.8280176 -1.5685758
"ENSG00000215790" 3.2672902 -0.2705873 3.9874487 -0.7381991 1.6694273 4.0535965 1.3838599 0.9151155 0.7272122 4.0584384
"ENSG00000008130" 8.936868 3.979454 4.452532 6.854205 7.286736 8.22657 6.530313 8.300284 9.282214 8.954692
"ENSG00000078369" 6.861813 6.442077 6.361476 6.657137 7.640106 6.204188 7.378265 7.794167 6.689626 7.816285
"ENSG00000067606" 3.101397 4.124006 2.240768 4.612781 1.478155 4.882072 3.844372 5.044852 2.126575 3.434856
"ENSG00000162585" -0.547582 2.9110168 -0.7122392 2.5152273 0.8456891 2.7020291 4.4838105 2.491978 3.7630909 0.9567918
"ENSG00000157933" 6.570483 6.404921 6.314083 2.449475 5.237184 4.665438 2.418138 3.217607 5.022614 3.915156
"ENSG00000116151" 4.79424425 -0.77733331 -1.12973724 0.68680517 0.2309545 3.18668066 4.29236401 -0.94474639 3.26780348 -0.08611523
"ENSG00000157916" 6.969117 5.57884 6.732348 6.393204 6.794986 5.83698 6.361817 7.050202 5.652468 7.14222
"ENSG00000157911" 0.2670835 3.4154571 1.9393748 0.9937311 1.2047354 2.1677318 0.5742066 1.6290886 2.5488082 1.5503976
"ENSG00000149527" 2.1133734 -0.6099449 4.8514225 2.9526727 -1.0913702 0.7411793 0.1852377 3.9342344 1.4361987 1.2224016
"ENSG00000157881" 1.0633329 2.6704555 2.7491849 2.7620876 1.9371713 4.9452286 0.7149116 2.8083727 2.7510047 3.1310677
"ENSG00000157873" 3.806178 6.828457 7.235078 7.671666 3.664506 6.066024 6.280628 3.239485 5.357688 5.756239
"ENSG00000157870" -1.4352504 1.3567525 1.7140386 -0.9637806 0.6125445 3.3047591 1.2461064 3.4496603 2.2931498 2.1293263
"ENSG00000162591" 3.1487328 7.2751148 6.9575183 -0.3795001 3.1547626 4.1004751 -1.0644618 -1.7026269 5.3062807 7.0892985
"ENSG00000158109" 4.312617 5.48172 3.979067 5.530403 4.706797 7.550068 4.783965 7.806112 4.958486 6.000139
"ENSG00000116213" 5.587364 5.408885 5.600812 2.782129 4.805121 2.296563 1.913663 1.846788 3.687789 3.985386
"ENSG00000235169" 4.6524317 0.3931409 2.2905607 3.2271182 3.4907899 7.0348287 -0.3815822 -1.6841128 -1.1001247 -1.916395
"ENSG00000130764" 5.404718 4.8117 4.330897 3.554613 3.431187 3.383626 4.406248 4.424841 5.609326 5.230942
"ENSG00000116198" 5.277379 4.731693 5.93433 4.830219 5.918658 3.830634 4.57276 4.370848 5.596157 4.464858
"ENSG00000169598" 2.014564 2.868669 1.267108 1.891315 1.444654 1.305811 2.747074 4.909672 4.83544 4.171565
"ENSG00000198912" 4.513798 4.293705 3.66707 3.717266 4.640188 3.78793 5.065992 4.538915 3.376698 3.512095
"ENSG00000131697" -0.282523 4.6392368 -0.9798654 2.4029946 -0.5369194 1.8360672 -0.0399515 1.8232282 1.1121777 2.2977232
"ENSG00000069424" 7.727691 5.69913 7.078898 6.805951 5.843551 5.399673 3.905843 2.935497 5.099959 4.398433
"ENSG00000116251" 7.204463 7.885161 6.083973 7.519463 7.615863 5.353997 7.639794 6.556375 5.565755 7.058777
"ENSG00000116237" 4.195927 4.650352 5.48259 5.301109 3.840839 3.883836 5.045842 4.198495 4.908442 4.396372
"ENSG00000187017" 6.81273995 4.23095311 -2.03994294 4.7725489 -0.28864919 4.05949929 4.59586994 0.04991131 6.40094754 3.12888345
"ENSG00000215788" 5.480149 6.239792 1.416947 4.716505 6.53676 2.404766 1.208091 6.526571 1.733171 1.976783
"ENSG00000162408" 4.891671 5.201367 5.910286 4.117363 5.317733 3.918915 5.466718 4.562732 5.851764 4.311037
"ENSG00000204859" 4.98945824 2.56784119 -0.04023122 1.62660663 4.45992521 1.89148647 2.35378805 -0.06092782 5.85419092 6.02999873
"ENSG00000162413" 5.144039 7.287887 3.569993 6.439608 6.460514 4.728628 6.229063 6.241624 5.556145 7.234531
"ENSG00000116273" 1.729954 2.552622 1.895106 4.214731 2.772154 2.412946 3.831711 3.366694 2.363135 2.410374
"ENSG00000041988" -0.2308187 3.2604053 -1.3438448 4.138213 2.7104481 0.1296749 2.5686042 1.4538408 3.9830371 0.441469
"ENSG00000007923" 4.89126 2.084068 2.84944 3.961567 4.782665 3.143741 3.090771 1.19576 2.03493 4.301426
"ENSG00000171735" 3.36456 4.743382 3.700022 3.509495 4.155619 3.298512 3.951894 4.909526 4.134679 4.561078
"ENSG00000049245" 6.856982 6.759121 7.34329 5.701358 6.363358 7.452175 7.836783 5.426598 7.096131 5.756487
"ENSG00000049246" 1.184536 1.249378 2.291322 1.585088 3.524272 1.348914 2.087816 2.058036 3.274139 2.350485
"ENSG00000049247" 2.82448094 5.22007734 4.55149941 0.42432844 -0.18359366 0.29167558 1.54468827 -1.92951096 0.02019054 2.75643156
"ENSG00000049249" 1.672995 1.602631 1.182154 2.471297 3.924087 1.213956 4.672113 5.527481 4.734324 3.057747
"ENSG00000116288" 4.239423 5.031544 4.348535 4.119511 4.342961 4.877253 4.618085 5.246329 5.365107 5.08444
"ENSG00000142599" 7.22525 6.140993 5.781079 7.973378 5.206526 7.814243 7.521725 6.122377 7.244578 5.589044
"ENSG00000074800" 5.509119 7.805485 5.018787 8.350928 6.196139 6.460989 6.983728 4.820045 8.07091 6.092639
"ENSG00000180758" 3.9585612 3.1357472 0.9356572 0.8655864 2.6844253 0.9446974 3.9215062 1.4221462 0.8757269 3.9735579
"ENSG00000049239" 4.242938 5.244387 2.387679 6.441424 5.242255 4.467003 3.492326 3.456468 3.079184 5.409622
"ENSG00000171612" 0.7347507 0.230396 1.92401 0.3723875 0.2044837 0.7472694 1.0426504 0.1970402 0.5714265 0.5004916
"ENSG00000171608" 5.72994 9.191506 8.097384 5.013795 7.890369 8.771292 7.061608 7.148365 8.198935 7.103132
"ENSG00000171603" 2.690677 1.184216 1.259161 2.461911 6.111605 6.418609 3.458742 1.997805 3.167623 3.264587
"ENSG00000178585" 2.587461 1.464937 3.538948 4.161165 3.03944 1.451579 3.73742 2.807729 2.392436 2.73728
"ENSG00000162441" 4.444428 5.1358 4.597805 5.030109 5.44328 4.430605 4.220845 4.855895 4.164061 4.373689
"ENSG00000173614" 4.035116 3.401499 4.275048 3.144719 2.737997 4.81514 4.395854 4.563943 3.769499 4.302077
"ENSG00000162444" 2.484596 1.26358 4.558222 1.513034 4.864413 4.412156 1.051798 4.12242 4.455456 1.221492
"ENSG00000130939" 5.441722 7.040136 6.095497 5.990763 6.394275 6.133397 6.096228 5.452585 5.007533 7.002591
"ENSG00000054523" 5.924947 5.496815 8.321786 7.841592 6.919904 8.093157 5.527958 6.744335 5.733955 5.214922
"ENSG00000142657" 8.736806 4.549214 7.592786 7.510287 5.24469 4.578775 6.900368 6.024336 8.05806 8.258697
"ENSG00000160049" 5.923062 3.731319 3.556863 5.499108 4.058812 4.277753 5.562499 4.451564 3.969777 5.7563
"ENSG00000142655" 3.2749172 0.5466855 2.8355131 2.9822969 -1.7885283 0.6898163 1.7565257 1.5755625 -1.6193971 1.2597419
"ENSG00000130940" 0.4003845 2.8642765 2.4446142 2.8682503 2.4201521 3.0583079 2.2605175 3.3786817 4.0961618 3.8382104
"ENSG00000120948" 6.191928 5.317965 5.531494 5.086832 6.068346 5.192748 5.627323 5.567531 5.933303 5.235764
"ENSG00000116649" -1.3226104 -0.7814113 0.6299021 3.2019941 1.1459929 3.4357221 -0.6338103 2.086748 1.0001426 1.7888954
"ENSG00000171824" 5.000493 6.052209 5.003343 4.738016 5.297798 6.191246 5.795691 4.970413 5.297149 5.646405
"ENSG00000198793" 6.208487 6.102123 6.949512 5.623912 5.669584 6.427888 5.87326 6.971539 6.552079 5.327431
"ENSG00000120942" 1.439048 4.30101 4.057276 4.203998 2.274074 2.992974 1.540657 1.018563 1.153843 2.715471
"ENSG00000132879" -0.45417669 2.15069027 -1.24547438 0.07450967 -1.25670133 0.56704338 4.3802692 2.27659493 -1.30145736 0.39307977
"ENSG00000116663" 5.61977186 5.10631753 4.49002097 4.84399823 0.09845255 5.60326821 0.79549122 1.60995299 1.39031222 0.80951419
"ENSG00000116670" 1.7630028 3.8224837 0.3536741 2.562498 3.2297456 2.5906167 0.4940204 2.0470691 -1.9670565 0.8356859
"ENSG00000162490" 2.16946694 3.59240847 -0.632127 -0.08478794 4.54394656 0.16777107 0.64138646 0.31981329 0.02225571 3.62151137
"ENSG00000177674" 3.590919 6.587329 5.531129 6.296929 2.49963 6.725569 5.003688 4.910048 3.102818 5.055757
"ENSG00000177000" 4.485807 6.190176 5.69908 6.486699 5.528124 2.313327 6.566189 2.945266 4.746473 4.436893
"ENSG00000011021" 2.75089 4.591517 5.928418 2.556812 3.346619 3.397114 5.098353 2.199876 5.242679 5.002541
"ENSG00000116685" 4.968381 4.589355 6.111616 5.551805 3.776148 5.628244 2.353216 3.679855 3.508179 2.013426
"ENSG00000083444" 1.4206767 1.2695616 3.7795644 4.185558 0.6018376 6.3623212 4.6452285 -0.3929747 0.2295445 1.1238872
"ENSG00000116688" 8.897176 7.896282 8.73713 7.503477 5.913569 7.714718 6.991453 6.274267 6.043261 6.972855
"ENSG00000116691" -0.9244255 6.0423784 -2.0290127 -0.302626 2.8551889 -0.0744777 2.8180117 7.6221539 7.4746725 -1.7414023
"ENSG00000120949" -1.900123 0.3691904 -0.2131217 4.7933511 3.8532621 0.1071374 2.5631055 0.439918 1.9383928 -0.139617
"ENSG00000028137" 5.041181 7.797123 7.075608 7.626592 5.949257 6.24533 6.851594 4.045165 5.134205 4.970457
"ENSG00000048707" 8.600659 8.501902 8.538043 8.602698 8.661837 7.33059 7.39351 7.811586 7.447882 7.127042
"ENSG00000162496" 1.9674583 3.1472564 4.7313033 4.4882811 2.0632042 0.9078965 2.8474277 0.6484422 3.395851 3.4664073
"ENSG00000116731" 7.966191 8.103009 7.047409 7.613837 8.582642 7.747089 6.486824 6.510631 6.229298 8.122683
"ENSG00000189337" 1.5508513 -1.1992582 4.6634575 1.3563055 1.5800013 1.9030248 1.7386038 0.6162262 3.5751449 3.8477617
"ENSG00000142634" 5.416301 6.590536 5.957328 7.848208 8.271673 7.438734 5.930849 8.14964 3.843709 6.574521
"ENSG00000132906" 3.63137 3.657918 1.661811 3.931663 1.413179 2.227327 2.858921 2.902679 1.653955 1.65544
"ENSG00000116138" 5.649043 4.80594 5.150307 4.590791 4.755566 5.980504 6.059032 5.090975 5.176597 4.426529
"ENSG00000116771" 3.5031979 0.4852695 1.4938969 2.368377 1.1334711 0.5716088 2.3135624 0.5546619 3.1853194 1.0831087
"ENSG00000197312" 7.752982 6.386839 5.90719 6.761545 6.511115 6.083414 7.453814 5.607351 6.961417 6.389773
"ENSG00000116786" 2.4698225 4.306385 0.1186595 4.8178364 2.216835 3.5311078 2.4770707 -0.3293618 2.7675953 1.1745523
"ENSG00000065526" 8.57642 7.119548 7.56101 7.046879 7.130844 7.148404 8.159611 7.174626 7.777866 7.532947
"ENSG00000116809" 1.1461101 1.7772453 3.5885989 -1.6593669 -2.0541032 1.5471785 0.1555904 -1.6059052 1.2993619 2.0688706
"ENSG00000142632" 1.96479224 2.63625359 0.13288251 1.85103277 -1.19548892 2.67643775 1.50888321 0.83554512 0.74661942 -0.07408823
"ENSG00000037637" 5.983798 5.494758 6.488887 5.315816 5.60351 6.312547 5.317672 6.212459 5.309273 6.596976
"ENSG00000055070" 4.194897 4.959991 3.977477 5.755668 5.207408 3.773064 6.70576 4.256836 5.145548 5.456557
"ENSG00000157191" 6.622824 5.147646 4.96163 5.339343 5.674007 5.152211 6.450238 6.085724 5.542977 6.019638
"ENSG00000219481" 5.239904 4.954558 5.12212 5.7028 3.025242 3.875814 2.840605 2.504253 6.120663 4.646737
"ENSG00000058453" 1.4560645 4.6565874 2.1130982 2.0864585 1.9102049 5.1236915 0.3022176 2.0363168 -0.5959941 5.1276356
"ENSG00000159363" -1.1270693 -1.1895575 3.9561537 -0.5354846 -0.8770423 4.2758269 3.4279648 4.8426621 4.695521 -0.8950504
"ENSG00000117118" 6.443088 6.098732 5.5219 5.275304 5.201841 5.571784 4.872128 6.610098 5.62384 6.581872
"ENSG00000117115" 4.903069 3.652733 5.93065 5.114295 4.00193 5.652401 7.086077 3.200614 7.266836 3.117237
"ENSG00000159339" 7.076306 3.76238 8.047643 2.602053 4.959648 2.26762 2.726832 2.422432 4.135466 1.637881
"ENSG00000179051" 3.808221 5.551487 5.71078 5.424245 4.886781 4.941037 6.113987 4.602176 5.110807 6.074389
"ENSG00000074964" 0.09437345 0.23737061 3.17438562 4.64128174 0.1254409 4.3124952 5.32243343 1.51258332 -0.26275671 -0.3219997
"ENSG00000169991" 3.654779 3.731331 4.839973 1.619441 1.724891 4.693547 6.074298 4.692894 2.35422 2.168887
"ENSG00000127481" 7.438368 7.987728 8.169578 7.32824 7.612833 8.056072 6.996631 7.231979 8.435363 6.861242
"ENSG00000127463" 3.901016 3.899137 4.768916 4.483886 3.916041 3.703487 3.612571 4.664397 4.258685 4.398805
"ENSG00000053372" 3.5224168 2.8776251 2.8578111 4.3199346 2.3159385 2.1358696 0.2672763 3.2736696 4.3618149 3.6630242
"ENSG00000053371" 2.372336 1.6313467 0.8658948 0.6654946 2.040242 4.6045039 2.9898134 1.8537461 0.1947042 3.5337211
"ENSG00000040487" 2.286077 1.5613946 1.3396925 2.3512306 2.9822529 2.0456228 2.7111959 -0.8285981 -0.3837825 3.412555
"ENSG00000077549" 4.465445 3.493746 3.896334 4.705976 4.640488 5.413489 6.392855 5.960789 6.9011 5.779194
"ENSG00000173436" 4.103909 3.029331 2.657046 3.544185 4.050826 3.631173 4.152566 3.513328 3.935583 4.178155
"ENSG00000162542" 1.2810082 4.7582247 5.0833811 2.7780601 4.5690024 2.8048301 4.4484978 0.6073767 2.174675 2.9315498
"ENSG00000169914" 5.281347 3.967786 4.698819 4.408091 4.536738 4.736374 5.576986 4.048839 5.223151 3.531604
"ENSG00000162543" -0.1777127 3.947051 1.950287 2.1124009 0.2470017 0.8107088 4.4255461 0.4490668 1.913021 5.8204396
"ENSG00000090432" 4.420582 3.838343 3.88201 3.318977 3.205025 1.626431 3.03621 4.598782 2.612683 4.913638
"ENSG00000158825" 3.0924957 3.5412512 0.1500598 1.0549852 4.2186957 4.565161 1.5570161 3.5767632 0.7751226 0.9763177
"ENSG00000158828" 5.924198 4.91309 10.153511 9.889655 3.568208 7.906916 5.863511 5.610998 7.12963 3.71057
"ENSG00000244038" 4.220167 3.648083 4.410339 4.188956 5.713 3.184323 5.456001 3.323737 4.029399 6.177584
"ENSG00000127483" 8.760867 8.483763 8.536869 7.840376 8.821655 8.710736 7.78951 7.673874 7.990867 9.190087
"ENSG00000075151" 6.366355 7.643485 7.385381 7.59889 6.053365 7.231836 5.684481 6.107373 7.256974 7.2364
"ENSG00000117298" 6.833949 5.197701 3.598793 5.845583 8.542456 7.107743 8.27731 5.935866 3.441089 6.709304
"ENSG00000142794" 6.07861 5.155673 1.637599 2.196377 3.987753 2.874313 2.03805 2.661183 3.103967 2.223077
"ENSG00000162551" 3.007279 1.5465749 5.3956466 7.5145381 0.8894638 6.2393468 -0.2686378 5.8980967 3.8991973 7.1222161
"ENSG00000076864" 0.7555533 4.5382415 5.1698726 7.5252497 0.389042 3.4568671 7.6809735 8.6762137 4.278835 9.0675538
"ENSG00000090686" 7.922352 6.351357 6.478933 7.258307 7.131742 7.626916 7.687405 6.683109 7.254133 7.659432
"ENSG00000070831" 9.140426 9.136518 7.313665 7.738827 8.793803 7.445948 8.26229 7.487289 8.897635 8.975677
"ENSG00000184677" 6.223519 5.371058 4.919675 7.157835 6.799754 6.731281 6.08937 7.033975 5.37038 5.062693
"ENSG00000173372" -0.147635093 -1.023338282 1.852981974 0.126808746 5.387429141 0.007273218 2.246706745 2.531582558 -0.839526616 1.792767394
"ENSG00000004487" 6.27633 5.273105 5.169971 6.086024 4.950503 5.933833 4.782757 5.633882 5.031398 5.552293
"ENSG00000169641" 5.75782 5.093041 5.410047 5.416984 5.302065 5.571035 4.83116 4.190464 4.949823 4.519427
"ENSG00000125944" 7.73277 7.980066 7.348668 8.260847 7.281697 8.189405 8.035501 7.13074 6.923558 8.334763
"ENSG00000125945" 4.480694 4.01257 3.830364 3.592653 5.016649 4.383903 4.977173 4.508447 3.596192 3.664162
"ENSG00000204219" 1.162255 -0.6679385 2.6223344 1.6131356 2.5061294 2.7854146 2.9587396 3.0758431 0.7335512 2.1663104
"ENSG00000007968" 2.30122 2.960516 6.555632 6.391916 1.86136 7.236958 7.558744 1.535642 7.740501 4.393996
"ENSG00000117318" -1.83169238 5.75502109 4.82535372 -0.510384 1.36301605 1.06599228 0.01978313 4.0211419 3.5403938 0.36436644
"ENSG00000142676" 10.062526 9.882782 10.23427 6.473771 6.805592 10.082335 7.70125 7.55518 8.644819 6.897374
"ENSG00000011007" 5.007071 5.024704 4.60252 4.916997 3.952206 4.821747 4.729522 4.665267 4.174832 5.159555
"ENSG00000057757" 8.490534 8.960391 6.521242 11.425355 8.111811 11.439903 6.698497 7.530434 7.407181 8.714022
"ENSG00000011009" 0.4886297 2.196681 4.5119511 1.1055082 3.4623508 4.1581466 0.8897962 2.0490987 -1.2705331 2.1434802
"ENSG00000117308" 2.657023228 0.986472913 -1.649991456 -0.774576227 -1.411307892 3.255290767 -0.855402107 0.009872422 -1.151171105 -1.800570668
"ENSG00000117305" 3.43904 3.247805 5.03686 3.434955 4.050276 4.833823 3.559109 4.439423 4.698848 3.668978
"ENSG00000179163" 4.946639 3.413697 3.647742 4.678252 4.137682 4.621847 5.293949 3.344324 6.048045 4.194212
"ENSG00000188822" 7.148263 5.345358 6.210831 1.872186 4.234249 2.197193 1.292865 6.687572 2.529239 3.601505
"ENSG00000189266" 6.303633 7.810635 7.095456 7.484808 6.619333 6.912692 6.618085 7.07002 7.903811 6.599308
"ENSG00000188529" 7.835922 7.427194 7.112601 6.098925 6.959292 8.506557 7.523463 6.307461 6.610209 7.18511
"ENSG00000185436" 5.9935524 1.889691 1.3425963 4.9740332 0.5641527 2.641229 -0.3812508 4.3682662 5.2085417 1.0854664
"ENSG00000001461" 5.060438 5.556373 5.572286 6.190357 6.280981 6.552178 5.893235 6.171055 6.225641 6.157348
"ENSG00000117602" 4.59121 7.127236 5.570937 5.915974 4.387201 4.897701 5.023983 7.175712 7.783859 5.218432
"ENSG00000133226" 6.548934 7.010515 6.413041 7.164173 5.672359 7.039754 5.906862 6.100028 5.629987 5.837872
"ENSG00000169504" 5.707634 5.04029 6.764609 4.134322 6.104209 6.102245 4.665621 6.074248 6.484016 5.856985
"ENSG00000020633" 5.842596 5.923516 6.812627 2.212871 3.758195 1.700299 2.391498 2.863462 4.644348 5.160393
"ENSG00000117614" 6.096156 5.097021 6.924431 6.515914 5.718165 6.83994 6.215562 5.225298 5.704229 6.038485
"ENSG00000117616" 10.543729 10.235878 10.313864 10.188553 8.775659 8.337732 8.90193 8.273951 9.0309 8.398987
"ENSG00000187010" 2.57324759 1.6466223 0.36719272 1.88678996 2.46318743 4.52990122 0.00344857 -1.35185578 -0.90586718 3.79332214
"ENSG00000183726" 7.465425 6.804293 7.369324 6.004757 6.391378 6.286258 7.697566 6.298876 6.686602 7.327162
"ENSG00000204178" 5.229883 6.554216 4.590939 5.381799 5.528415 5.326924 5.397335 6.855648 5.63567 6.49227
"ENSG00000157978" 5.639782 5.240781 6.51233 5.99762 5.37896 7.461992 6.643085 4.977234 6.745515 4.973996
"ENSG00000117643" 0.914519 5.569783 2.728154 4.404706 4.544619 0.958133 1.574202 5.465385 1.761971 3.393432
"ENSG00000162430" 2.1527563 1.3505217 0.2195642 0.9315577 -1.7786763 3.1059197 3.6084477 -0.8678992 -0.6778213 -0.3519719
"ENSG00000117640" 5.382828 5.786388 5.410341 5.905458 6.200492 4.2624 5.175308 6.041819 5.660008 4.257412
"ENSG00000182749" 4.3774437 3.6449164 1.3702484 2.006661 -0.2917218 3.6943134 2.5861386 3.1153259 4.5734063 4.8631022
"ENSG00000117632" 2.17941 3.989653 5.248882 5.868975 3.770296 4.34668 4.025655 3.474354 3.318315 3.988763
"ENSG00000158006" 5.829663 6.3179 6.068431 3.727333 6.131132 3.354566 3.585144 6.204451 5.586832 4.661892
"ENSG00000175087" 3.661124 3.014983 3.032351 4.421114 4.644769 5.763052 4.120957 3.745519 5.086779 3.226749
"ENSG00000142684" 4.11097776 -0.05951785 3.3837026 -0.69134543 -0.50764974 -0.00827228 1.49466604 1.90453169 3.83996565 2.3641871
"ENSG00000130695" 5.542926 4.437824 2.89459 3.507076 5.37614 5.919527 3.892407 3.952565 3.567973 4.261335
"ENSG00000142669" 0.209735832 7.131575179 2.182159332 6.820725932 5.251486085 0.003713067 6.635271864 6.885831671 3.628860174 1.277596978
"ENSG00000158062" 2.61563418 -0.44474514 2.20931177 0.7286472 5.47293526 6.44893471 -0.01923892 2.166128 3.63297967 2.79655451
"ENSG00000169442" 8.537171 5.02674 8.584731 6.375109 7.59481 4.5692 4.846029 6.65386 5.270501 7.780999
"ENSG00000117682" 3.093771 4.737288 2.737155 2.820375 3.714208 4.757498 4.540492 2.720003 2.588295 2.764832
"ENSG00000198830" 7.471633 6.448811 6.810081 7.272399 6.440863 6.078891 7.478063 6.558838 7.408005 7.857182
"ENSG00000117676" 6.826744 6.24718 4.946205 4.320371 5.268317 7.335794 4.287183 4.939636 9.085195 4.318606
"ENSG00000117713" 6.434421 7.796147 5.764859 7.553486 5.104685 7.878018 6.106151 7.065038 5.973013 5.286848
"ENSG00000060642" 3.126364 4.275099 5.299204 3.602446 4.863257 5.207497 3.083194 4.908295 5.013382 5.126239
"ENSG00000204160" 8.615667 8.164425 7.979066 5.665167 7.64871 5.271327 7.169961 9.124356 8.026943 9.259402
"ENSG00000142751" 3.507503 4.307989 3.75268 4.352334 3.524156 5.219937 4.155512 4.433027 4.439606 5.3264
"ENSG00000198746" 2.793714 -0.2033083 2.6596141 -0.5762892 3.8714599 3.9476866 2.7851639 1.1112735 3.7073461 0.6146856
"ENSG00000090273" 5.071029 3.950093 2.730103 4.182243 4.711249 2.265522 4.316127 5.211288 3.806592 3.226325
"ENSG00000090020" 0.1006325 4.6345753 3.581855 4.1797106 2.3128649 2.0726389 1.2524662 0.6955097 4.2291257 3.6356232
"ENSG00000142784" 7.354124 6.448872 7.177481 3.419409 2.54335 6.548256 3.581951 5.006631 7.274617 6.446608
"ENSG00000186501" 0.8404979 3.0860472 3.246273 4.6237522 2.7657377 3.3362049 4.4051007 5.0627884 0.900304 3.2940199
"ENSG00000142765" 3.0423919 2.6832751 4.4249475 2.153598 6.7311377 0.1931562 2.6280007 2.0938113 4.2439844 6.141724
"ENSG00000142733" -1.48146794 0.24151981 2.75175165 -1.65553334 1.73939391 2.4841731 2.76509257 -0.03506587 0.1607908 -0.93891731
"ENSG00000158195" 9.551231 7.646485 7.518631 5.805882 7.932658 6.927112 7.572551 6.348644 8.942093 8.848319
"ENSG00000126705" -0.6688618 -1.9430618 1.6012329 -2.0006127 2.4705972 0.722493 -1.3940115 3.851272 1.6660099 -0.1806174
"ENSG00000000938" 6.673003 6.47113 9.688657 8.051319 8.924863 6.073026 5.582255 6.967482 9.211277 9.650361
"ENSG00000126709" 6.988143 6.620189 4.354547 7.602285 5.004692 2.716898 2.718977 6.118883 7.553285 6.703897
"ENSG00000009780" 3.304524 3.626877 3.912899 3.950122 4.270412 3.742659 4.050475 3.671629 4.470389 3.412132
"ENSG00000117758" 6.080516 6.008285 6.942282 6.756527 5.483603 5.355001 6.847884 5.823227 5.223204 5.63673
"ENSG00000117751" 4.755951 5.791845 4.825335 5.960571 4.632508 5.963599 6.030663 5.211943 5.89872 4.559643
"ENSG00000130775" 9.702953 7.440721 7.043651 7.204428 8.129652 7.808431 9.510688 9.779899 9.457893 8.155674
"ENSG00000117748" 5.982132 4.940145 5.69603 5.825003 4.852615 5.102523 5.808518 5.588826 5.440199 6.037838
"ENSG00000158156" 2.0397931 0.8513842 5.5914547 5.5870466 1.9628636 5.4810946 3.7975236 2.7138885 4.321049 4.6963664
